	profile_A
n	x	y	luma
1.630000E2	1.064051E1	-2.831318E-3	5.458612E0
1.640000E2	1.063531E1	-2.831318E-3	5.441462E0
1.650000E2	1.063010E1	-2.831318E-3	6.061656E0
1.660000E2	1.062489E1	-2.831318E-3	6.925119E0
1.670000E2	1.061968E1	-2.831318E-3	5.165386E0
1.680000E2	1.061448E1	-2.831318E-3	4.958700E0
1.690000E2	1.060927E1	-2.831318E-3	6.128740E0
1.700000E2	1.060406E1	-2.831318E-3	5.867215E0
1.710000E2	1.059885E1	-2.831318E-3	5.929168E0
1.720000E2	1.059365E1	-2.831318E-3	4.812399E0
1.730000E2	1.058844E1	-2.831318E-3	4.784736E0
1.740000E2	1.058323E1	-2.831318E-3	5.851434E0
1.750000E2	1.057802E1	-2.831318E-3	5.531672E0
1.760000E2	1.057282E1	-2.831318E-3	5.713132E0
1.770000E2	1.056761E1	-2.831318E-3	6.284198E0
1.780000E2	1.056240E1	-2.831318E-3	6.495148E0
1.790000E2	1.055719E1	-2.831318E-3	5.515505E0
1.800000E2	1.055199E1	-2.831318E-3	5.721232E0
1.810000E2	1.054678E1	-2.831318E-3	5.781259E0
1.820000E2	1.054157E1	-2.831318E-3	5.036140E0
1.830000E2	1.053636E1	-2.831318E-3	5.195341E0
1.840000E2	1.053116E1	-2.831318E-3	5.582826E0
1.850000E2	1.052595E1	-2.831318E-3	5.324248E0
1.860000E2	1.052074E1	-2.831318E-3	5.024470E0
1.870000E2	1.051553E1	-2.831318E-3	6.500704E0
1.880000E2	1.051032E1	-2.831318E-3	6.411550E0
1.890000E2	1.050512E1	-2.831318E-3	5.799026E0
1.900000E2	1.049991E1	-2.831318E-3	4.946536E0
1.910000E2	1.049470E1	-2.831318E-3	5.566092E0
1.920000E2	1.048949E1	-2.831318E-3	6.149063E0
1.930000E2	1.048429E1	-2.831318E-3	6.032661E0
1.940000E2	1.047908E1	-2.831318E-3	6.401886E0
1.950000E2	1.047387E1	-2.831318E-3	5.779676E0
1.960000E2	1.046866E1	-2.831318E-3	4.782164E0
1.970000E2	1.046346E1	-2.831318E-3	4.743424E0
1.980000E2	1.045825E1	-2.831318E-3	6.727600E0
1.990000E2	1.045304E1	-2.831318E-3	5.850812E0
2.000000E2	1.044783E1	-2.831318E-3	5.422582E0
2.010000E2	1.044263E1	-2.831318E-3	4.580785E0
2.020000E2	1.043742E1	-2.831318E-3	4.777142E0
2.030000E2	1.043221E1	-2.831318E-3	5.038123E0
2.040000E2	1.042700E1	-2.831318E-3	4.165556E0
2.050000E2	1.042180E1	-2.831318E-3	4.004514E0
2.060000E2	1.041659E1	-2.831318E-3	4.385874E0
2.070000E2	1.041138E1	-2.831318E-3	4.207101E0
2.080000E2	1.040617E1	-2.831318E-3	5.431682E0
2.090000E2	1.040097E1	-2.831318E-3	6.925767E0
2.100000E2	1.039576E1	-2.831318E-3	7.106891E0
2.110000E2	1.039055E1	-2.831318E-3	5.968413E0
2.120000E2	1.038534E1	-2.831318E-3	5.706743E0
2.130000E2	1.038014E1	-2.831318E-3	7.033147E0
2.140000E2	1.037493E1	-2.831318E-3	6.094507E0
2.150000E2	1.036972E1	-2.831318E-3	4.836889E0
2.160000E2	1.036451E1	-2.831318E-3	4.771544E0
2.170000E2	1.035931E1	-2.831318E-3	5.064281E0
2.180000E2	1.035410E1	-2.831318E-3	5.702851E0
2.190000E2	1.034889E1	-2.831318E-3	5.135177E0
2.200000E2	1.034368E1	-2.831318E-3	4.742551E0
2.210000E2	1.033848E1	-2.831318E-3	5.224766E0
2.220000E2	1.033327E1	-2.831318E-3	5.798984E0
2.230000E2	1.032806E1	-2.831318E-3	5.768306E0
2.240000E2	1.032285E1	-2.831318E-3	5.213359E0
2.250000E2	1.031765E1	-2.831318E-3	5.413360E0
2.260000E2	1.031244E1	-2.831318E-3	5.705134E0
2.270000E2	1.030723E1	-2.831318E-3	5.450591E0
2.280000E2	1.030202E1	-2.831318E-3	4.654422E0
2.290000E2	1.029682E1	-2.831318E-3	5.053182E0
2.300000E2	1.029161E1	-2.831318E-3	5.082287E0
2.310000E2	1.028640E1	-2.831318E-3	5.489211E0
2.320000E2	1.028119E1	-2.831318E-3	6.543771E0
2.330000E2	1.027599E1	-2.831318E-3	4.962028E0
2.340000E2	1.027078E1	-2.831318E-3	3.809510E0
2.350000E2	1.026557E1	-2.831318E-3	4.695926E0
2.360000E2	1.026036E1	-2.831318E-3	5.448460E0
2.370000E2	1.025516E1	-2.831318E-3	4.662861E0
2.380000E2	1.024995E1	-2.831318E-3	4.452313E0
2.390000E2	1.024474E1	-2.831318E-3	4.158789E0
2.400000E2	1.023953E1	-2.831318E-3	4.267389E0
2.410000E2	1.023433E1	-2.831318E-3	4.533026E0
2.420000E2	1.022912E1	-2.831318E-3	4.287765E0
2.430000E2	1.022391E1	-2.831318E-3	3.844622E0
2.440000E2	1.021870E1	-2.831318E-3	4.533333E0
2.450000E2	1.021350E1	-2.831318E-3	4.855734E0
2.460000E2	1.020829E1	-2.831318E-3	4.072034E0
2.470000E2	1.020308E1	-2.831318E-3	5.277865E0
2.480000E2	1.019787E1	-2.831318E-3	3.911123E0
2.490000E2	1.019267E1	-2.831318E-3	3.615353E0
2.500000E2	1.018746E1	-2.831318E-3	4.465968E0
2.510000E2	1.018225E1	-2.831318E-3	4.503816E0
2.520000E2	1.017704E1	-2.831318E-3	5.424069E0
2.530000E2	1.017184E1	-2.831318E-3	4.287193E0
2.540000E2	1.016663E1	-2.831318E-3	5.154310E0
2.550000E2	1.016142E1	-2.831318E-3	4.313328E0
2.560000E2	1.015621E1	-2.831318E-3	3.741193E0
2.570000E2	1.015101E1	-2.831318E-3	4.651047E0
2.580000E2	1.014580E1	-2.831318E-3	3.768751E0
2.590000E2	1.014059E1	-2.831318E-3	4.621090E0
2.600000E2	1.013538E1	-2.831318E-3	5.726342E0
2.610000E2	1.013018E1	-2.831318E-3	5.158189E0
2.620000E2	1.012497E1	-2.831318E-3	4.202312E0
2.630000E2	1.011976E1	-2.831318E-3	4.197831E0
2.640000E2	1.011455E1	-2.831318E-3	5.285063E0
2.650000E2	1.010934E1	-2.831318E-3	5.805629E0
2.660000E2	1.010414E1	-2.831318E-3	5.481479E0
2.670000E2	1.009893E1	-2.831318E-3	5.048557E0
2.680000E2	1.009372E1	-2.831318E-3	5.519591E0
2.690000E2	1.008851E1	-2.831318E-3	6.513328E0
2.700000E2	1.008331E1	-2.831318E-3	5.381855E0
2.710000E2	1.007810E1	-2.831318E-3	3.801816E0
2.720000E2	1.007289E1	-2.831318E-3	4.674194E0
2.730000E2	1.006768E1	-2.831318E-3	4.881424E0
2.740000E2	1.006248E1	-2.831318E-3	4.902958E0
2.750000E2	1.005727E1	-2.831318E-3	5.012856E0
2.760000E2	1.005206E1	-2.831318E-3	5.953830E0
